Year,GUNFIRE,ASSAULT/STABBING,9/11_ATTACK_AND_RELATED_ILLNESS,COVID,OTHER
1786,,,,,1
1787,,,,,
1788,,,,,
1789,,,,,
1790,,,,,
1791,1,1,,,
1792,1,,,,
1793,,,,,
1794,1,,,,
1795,,,,,
1796,,,,,
1797,2,,,,
1798,,,,,1
1799,,,,,
1800,,,,,
1801,,,,,
1802,,,,,
1803,,,,,
1804,1,,,,
1805,,,,,
1806,,1,,,
1807,1,,,,
1808,2,2,,,
1809,,,,,
1810,1,,,,
1811,1,,,,
1812,,,,,
1813,,,,,
1814,1,1,,,
1815,,,,,
1816,,1,,,
1817,,,,,
1818,,1,,,
1819,,,,,
1820,,,,,
1821,,,,,
1822,,,,,
1823,,2,,,
1824,,1,,,
1825,1,1,,,
1826,,,,,
1827,,1,,,
1828,1,1,,,
1829,,1,,,
1830,,1,,,
1831,,,,,
1832,,1,,,
1833,,1,,,
1834,1,1,,,
1835,,,,,
1836,,4,,,
1837,6,6,,,
1838,1,7,,,
1839,9,2,,,1
1840,1,1,,,
1841,4,2,,,
1842,1,,,,
1843,1,1,,,1
1844,2,3,,,
1845,2,2,,,
1846,,,,,
1847,4,2,,,
1848,2,1,,,
1849,1,2,,,2
1850,6,3,,,1
1851,3,5,,,1
1852,4,5,,,
1853,,5,,,4
1854,6,4,,,
1855,11,3,,,1
1856,3,2,,,4
1857,11,3,,,1
1858,10,5,,,3
1859,9,,,,2
1860,7,3,,,
1861,8,8,,,
1862,7,2,,,
1863,6,4,,,3
1864,14,3,,,3
1865,14,1,,,
1866,17,4,,,
1867,18,4,,,
1868,17,1,,,3
1869,30,3,,,4
1870,17,13,,,13
1871,29,4,,,3
1872,25,4,,,3
1873,22,7,,,4
1874,26,7,,,6
1875,25,2,,,2
1876,26,7,,,4
1877,29,4,,,3
1878,49,2,,,9
1879,28,7,,,4
1880,33,4,,,2
1881,49,6,,,4
1882,40,5,,,4
1883,42,1,,,6
1884,42,7,,,5
1885,56,4,,,3
1886,40,8,,,9
1887,34,7,,,9
1888,56,5,,,7
1889,44,2,,,5
1890,56,5,,,10
1891,50,8,,,13
1892,73,7,,,8
1893,63,4,,,12
1894,62,5,,,22
1895,68,4,,,15
1896,50,4,,,10
1897,43,7,,,14
1898,82,5,,,17
1899,74,10,,,17
1900,78,9,,,18
1901,84,5,,,19
1902,99,2,,,20
1903,90,11,,,16
1904,74,5,,,31
1905,72,8,,,20
1906,79,7,,,29
1907,100,7,,,19
1908,111,13,,,37
1909,89,7,,,28
1910,110,8,,,20
1911,138,8,,,28
1912,115,11,,,20
1913,120,9,,,34
1914,113,6,,,36
1915,139,8,,,32
1916,133,14,,,52
1917,136,14,,,52
1918,143,14,,,64
1919,198,10,,,51
1920,189,10,,,54
1921,225,11,,,79
1922,210,12,,,89
1923,188,4,,,82
1924,210,11,,,91
1925,190,5,,,95
1926,196,6,,,74
1927,205,8,,,119
1928,179,8,,,107
1929,173,19,,,127
1930,210,14,,,123
1931,199,2,,,115
1932,195,8,,,123
1933,170,8,,,87
1934,152,15,,,107
1935,131,15,,,108
1936,107,10,,,111
1937,100,11,,,110
1938,93,14,,,98
1939,71,5,,,68
1940,66,12,,,78
1941,76,3,,,85
1942,55,16,,,72
1943,52,7,,,48
1944,50,6,,,58
1945,59,6,,,64
1946,73,9,,,78
1947,75,8,,,60
1948,65,10,,,82
1949,55,6,,,63
1950,56,5,,,69
1951,54,6,,,84
1952,60,7,,,60
1953,59,5,,,68
1954,67,6,,,79
1955,44,1,,,89
1956,39,2,,,77
1957,58,4,,,72
1958,46,3,,,69
1959,47,,,,77
1960,51,5,,,87
1961,61,2,,,84
1962,59,1,,,85
1963,62,4,,,81
1964,62,3,,,93
1965,63,10,,,73
1966,64,7,,,95
1967,85,7,,,105
1968,75,2,,,128
1969,104,8,,,95
1970,112,15,,,114
1971,143,19,,,93
1972,121,13,,,106
1973,145,16,,,118
1974,138,9,,,138
1975,144,8,,,100
1976,105,12,,,90
1977,98,14,,,92
1978,100,8,,,110
1979,114,10,,,100
1980,103,9,,,99
1981,94,13,,,98
1982,93,10,,,99
1983,81,11,,,102
1984,74,10,,,105
1985,73,10,,,96
1986,76,5,,,106
1987,75,9,,,102
1988,80,5,,,113
1989,68,9,,,121
1990,60,10,,,98
1991,73,2,,,75
1992,66,7,,,100
1993,78,6,,,82
1994,85,4,,,93
1995,70,8,,,111
1996,61,5,,,79
1997,69,8,,,102
1998,64,2,,,113
1999,43,6,,,105
2000,50,5,,,109
2001,65,2,72,,104
2002,57,4,,,99
2003,49,4,4,,100
2004,46,1,2,,119
2005,55,2,2,,110
2006,52,2,7,,102
2007,68,,14,,126
2008,42,6,12,,105
2009,48,1,14,,83
2010,59,6,8,,108
2011,68,8,13,,99
2012,48,6,13,,78
2013,34,2,19,,81
2014,49,4,25,,85
2015,41,3,31,,92
2016,64,4,29,,84
2017,45,7,48,,86
2018,52,4,46,,85
2019,49,4,28,,74
2020,45,1,23,269,70
2021,62,10,12,446,95
2022,20,,,55,35
